02-14;Adolf,Adolfa,Auksencjusz,Auksencja,Auksenty,Cyryl,Dobiesława,Dobosława,Eleukadiusz,Józef,Konrad,Krystyna,Liliana,Lilianna,Mikołaj,Niemir,Piotr,Walenty,Zenon
02-15;Faustyn,Jordan,Jordana,Jowita,Józef,Klaudiusz,Przybyrad,Sewer,Zygfryd,Zygfryda,Żywila
02-16;Bernard,Daniel,Danuta,Izajasz,Julianna,Samuel,Symeon,Teodul,Weridiana,Wirydiana,Wirydianna
02-17;Donat,Franciszek,Julian,Klemens,Konstanty,Łukasz,Sylwin,Sylwina,Zbigniew
02-18;Agapita,Albert,Gertruda,Heladiusz,Klaudiusz,Konstancja,Konstantyna,Maksym,Mojżesz,Sylwan,Sylwana,Symeon,Więcesława
02-19;Arnold,Barbacy,Barbat,Bądzsława,Beat,Gawin,Henryk,Konrad,Leoncjusz,Manswet,Marceli
02-20;Aulus,Euchariusz,Eustachy,Leon,Leona,Ludmiła,Ludomiła,Siestrzewit
02-21;Eleonora,Feliks,Fortunat,Gumbert,Henryka,Kiejstut,Natalis,Piotr,Teodor,Wyszeniega
02-22;Chociebąd,Konkordia,Małgorzata,Marold,Marwald,Nikifor,Wiktor,Wrocisław
02-23;Damian,Florentyn,Łazarz,Marta,Montan,Prymian,Roma,Romana,Seweryn
02-24;Bogurad,Ermegarda,Irmegarda,Eunika,Józefa,Lucjusz,Maciej,Marek,Markusław,Montan,Wieledrog
02-25;Adam,Antonina,Bolebor,Cezary,Konstancjusz,Lubart,Małgorzata,Modest,Nicefor,Romeusz,Tarazjusz,Tolisław,Tolisława
02-26;Aleksander,Bogumił,Cezariusz,Dionizy,Gerlinda,Klaudian,Mirosław,Nestor,Otokar
02-27;Achacy,Achacjusz,Aleksander,Anastazja,Anna,Hanna,Auksencjusz,Auksencja,Auksenty,Baldomer,Baldomera,Bazyli,Gabriel,Honoryna,Leander,Sierosława,Wiktor
02-28;Falibog,Gajusz,Kajus,Gaja,Kaja,Józef,Makary,Nadbor,Roman
02-29;August,Roman
03-01;Antoni,Budzisław,Eudokia,Feliks,Herakles,Joanna,Józef,Leon,Leona,Nikifor,Radosław
03-02;Absalon,Agnieszka,Franciszek,Helena,Henryk,Januaria,Krzysztof,Luiza,Michał,Paweł,Prosper,Radosław,Symplicjusz
03-03;Asteriusz,Gerwin,Gerwina,Hieronim,Kinga,Kunegunda,Maryna,Piotr,Samuel,Wirzchosława
03-04;Adrian,Arkadiusz,Arkady,Jakobina,Jakubina,Kazimiera,Kazimierz,Leonard,Lucjusz,Łucja,Piotr
03-05;Adrian,Fryderyk,Jan,Jeremiasz,Marek,Markusław,Oliwia,Pakosław
03-06;Będzimysł,Eugenia,Frydolin,Jordan,Jordana,Koleta,Róża,Wiktor
03-07;Bazyli,Eubul,Eugeniusz,Felicyta,German,Nadmir,Paweł,Perpetua,Polikarp,Tomasz
03-08;Beata,Filemon,Herenia,Jan,Julian,Miłogost,Stefan,Wincenty
03-09;Dominik,Franciszka,Katarzyna,Mścisława,Prudencjusz,Przemyślibor,Samanta,Tarazjusz
03-10;Aleksander,Cyprian,Gajusz,Kajus,Gaja,Kaja,Makary,Marceli,Piotr,Porfirion,Zwnisława
03-11;Benedykt,Drogosława,Kandyd,Konstanty,Konstantyn,Prokop,Sofroniusz,Trofim
03-12;Bernard,Blizbor,Grzegorz,Józefina,Piotr
03-13;Bożena,Bratomir,Ernest,Kasjan,Krystyna,Letycja,Marek,Markusław,Patrycja,Roderyk,Trzebiesław
